,X,lon,lat
700,46,-86.158068,39.768403
701,47,-3.435973,55.378051
702,48,-71.0588801,42.3600825
703,49,-86.1349019,40.2671941
704,50,-81.625047,30.356184
705,52,-71.2342248,42.6106478
706,53,-71.0588801,42.3600825
707,54,-71.0588801,42.3600825
708,55,138.6007456,-34.9284989
709,56,-95.712891,37.09024
710,57,-85.3232139,51.253775
711,58,-120.8958242,38.8375215
712,59,-118.2436849,34.0522342
713,60,-84.3879824,33.7489954
714,61,-119.3631783,49.8802046
715,62,-116.419389,34.9592083
716,63,-95.3698028,29.7604267
717,64,-76.218292,42.088432
718,65,-70.2962408,41.6687897
719,67,-117.1610838,32.715738
720,68,-77.6426483,43.0897106
721,69,-71.4161671,41.7001009
722,70,-79.9558968,39.629526
723,72,-71.3824374,42.4072107
724,73,-71.3824374,42.4072107
725,74,-71.5723953,43.1938516
726,75,-96.9561152,32.5884689
727,78,-72.8595447,41.3909139
728,79,-76.091617,39.5492792
729,80,-116.419389,34.9592083
730,81,-93.097702,41.8780025
731,82,121.6283098,-27.6728168
732,83,-77.3832315,44.1627589
733,84,-84.3879824,33.7489954
734,85,-79.0192997,35.7595731
735,86,-99.4672613,27.5759792
736,88,-71.8022934,42.2625932
737,89,-70.8226541,43.9653889
738,90,0.121817,52.205337
739,91,-99.7232673,19.4968732
740,93,-71.3824374,42.4072107
741,94,-115.1398296,36.1699412
742,95,-80.1917902,25.7616798
743,96,-118.2436849,34.0522342
744,97,-72.6148117,42.0695391
745,98,-87.0611412,41.4730948
746,100,-95.712891,37.09024
747,101,-97.1383744,49.895136
748,102,-118.4517449,33.9802893
749,103,-95.712891,37.09024
750,104,-79.0414261,33.5510021
751,105,-118.2200712,33.8958492
752,106,-71.2079809,46.8138783
